被爱才能像小孩像被人爱04小碗广州: 爱才能像小孩像被人爱04小碗广州
11项行为被明确禁止。指引要求，明星本人代言商品前应当充分使用，保证使用时间或使用数量，保证足以产生日常消费体验，不应象征性购买或者使用。新规明星代言产品须充分使用: 明星代言产品需充分使用
查的怎么样啦也没个回信，一定要还老领导清白呀。: 呼吁还老领导清白
广东地铁打人的大妈，拘留10天出来后，开启直播与粉丝互撕。听完聊天内容，精神状态堪忧呀。: 大妈直播与粉丝互撕,精神状态堪忧。
[哇][哇][哇] 4月2日，河南洛阳，女生荷里寒@荷里寒被邀请到博物馆拍变装，仿佛从古代穿越而来，又美又惊艳。河南: 河南洛阳女生拍变装惊艳
时常能收到各行各业朋友寄来的公益相关的资料，这是对的高度认可。贡献微博之力，让世界变得美好可能谈不上，但让身边可遇见的事物变得美好一点点，还是可以。: 微博助力公益,让身边事物更美好。
这个城管是谁的儿子？这位妇女又是谁的母亲？底层人民已经很努力了！难道摆摊也要背景？: 城管母亲身份引人疑问
湖南在搞感动这方面还是挺厉害的。马英九祭祖结束那天，在下榻酒店见到了精心安排出场的98岁的堂姐，老人家的爸爸跟马英九的爸爸是同父异母兄弟。素未谋面的两人用家乡话相谈甚欢，场面有些感人，倪萍主持的《等着我》即视感。: 马英九祭祖现场感人,倪萍主持《等着我》即视感。
蔡徐坤粉丝捐赠偏远地区篮球场建成！希望与爱，从未离开，希望偏远地区孩子们也能在球场自由挥洒热爱，快乐积极向上地成长蔡徐坤@蔡徐坤: 蔡徐坤捐赠偏远地区篮球场,希望与爱从未离开。
如果改成日本学生，在一些人眼中那就是这样的国家值得尊重，这样的民族不可战胜！而且是条件反射般地赞美可惜不是日本。于是，各种看不顺眼，各种冷嘲热讽，各种忧心忡忡。: 批评日本学生不可战胜
和一样，总是但行好事，无问西东。希望我们相遇的这个世界变得越来越好蔡徐坤@蔡徐坤: 蔡徐坤,期待相遇的这个世界变得越来越好。
农民不会觉得麦田浪漫，渔民不会觉得大海浪漫: 农民不认为麦田浪漫,渔民不认为大海浪漫。
4月3日，福建厦门，外国男子背音响跑参加马拉松，和周围跑友一边跑一边一起大合唱，燃爆全场，成为全场焦点。: 外国男子厦门马拉松现场合唱
绿茶和手表能否组成展品: 绿茶和手表能否组成展品?
当前，已春暖花开，很多人都喜欢带孩子去公园玩耍。孩子玩着玩着就想小便，个别家长怕孩子憋坏了或者怕麻烦就选择一个角落让孩子就地解决，而这一幕把尿的画面与文明城市格格不入，你怎么看待此事呢？: 公园小便事件引争议
今天可以说是风雨交加，简直太冷了。青岛的天气冷不冷，主要是是看有没有风，阴雨的天加上大风，雨伞都是没用的，必须要穿雨衣。早上起来跑去，骏业里看画展展出的画有没有淋雨，发现还是有部分有点雨水珠。马上和我们的小伙伴一起把画撤走了，放进房间里。展览运营体会到，原来每天遇到不同的惊喜，深刻感受到其中的不易。: 风雨交加,青岛天气冷不冷
绝不惯着他，警察蜀黍这么干没毛病！近日，广东，男子红绿灯处车窗抛物，没想到警察就在后面。网友吐槽他笑的还挺开心: 男子红绿灯处车窗抛物,警察在后面。
把看到的视频都整理了一下基本完整版了重庆男人关键时刻不得拉稀摆带真的团结被这种万众一心的力量感动最后被群众制服被砍的好几个人流了好多血重庆草莓味比巴卜: 视频完整版:重庆男人团结被感动,被群众制服被砍多人流了好多血
别冲了，我等只不过是媒体口中，脱不下孔乙己长衫的小镇做题家而已。: 脱下孔乙己长衫的小镇做题家
拒做美食荒漠，杭州百万元重奖鼓励制定杭帮菜菜系标准 据澎湃新闻，杭州市商务局日前出台《推进杭帮菜高质量发展十大行动（征求意见稿）》，鼓励组织制定杭帮菜菜系标准，最高奖励100万元杭帮菜单品年销售额首次突破2亿元的，奖励100万元打造葱包桧、定胜糕等地方特色小吃强，塑造新消费品牌。征求意见稿明确，对主导制定完成杭帮菜国际标准、国家标准、行业标准和团体标准的单位，成果经标准化行政主管部门发布或备案后，分别给予每项不高于100万元、30万元、20万元、20万元的一次性奖励。同时，加强杭帮菜经典名菜向预制菜，杭帮菜创新作品向餐饮产品的转化，鼓励餐饮企业和食品企业加大研发力度，构建产品矩阵，对在杭州注册运营的企业销售杭帮菜单品年销售额首次突破05亿元、1亿元、2亿元的，分别给予不超过25万元、50万元、100万元的奖励。在特色小吃方面，将打造葱包桧、定胜糕、春卷、杭州小笼包等强，形成杭州特色美食地标，塑造年轻人记得住、愿分享的新消费品牌。发挥杭州电商之都、直播基地的优势，通过社交平台开展常态化宣推。（图杭州片儿川）: 杭州鼓励制定杭帮菜菜系标准,最高奖励100万元,打造特色小吃强。
哈哈哈哈，笑死我了，用魔法打败魔法，房屋中介你听到了吗？再打电话我就把你也放冰柜里: 用魔法打败魔法,房屋中介听到了吗?
张继科另一张欠条浮出水面？爆料者回应 潮新闻@潮新闻4月2日，一个名为记者郝成的加认证账号，在社交媒体曝光了疑似张继科另一张500万的欠条照片。照片中的落款显示疑为张继科，而在这张欠条上有500万元赌债等字样，疑似张继科另一张借条流出。4月3日，记者联系上中国经营报记者郝成，向其询问该照片来源，他表示自己也是从别处看到，没办法求证真假和出处了。此前，张继科和李微敖两人的名字相继登上热搜榜，有关张继科借款欠债、转发女演员隐私视频还债等说法愈演愈烈。据报道，截至发稿前，安踏、诺特兰德宣布已终止和张继科的合作多家企业删除相关宣传物料相宜本草、妮维雅客服则表示与张继科合作上一年已结束，与其划清界限。: 张继科另一张欠条曝光,疑似其另一张借条流出。
准备在全国各地设个自建仓咋样[笑]想达到的目标三小时本市达你们上午买的下午就能收到郑州还没有设自建仓目前只是测试这是个大工程实操起来挺难一步一步来吧[喵喵][喵喵][喵喵]: 自建仓实操难,建议三小时收到。
4月3日，湖南益阳，大风吹倒树木砸中行驶中的车辆，女司机被困车内淡定拍视频等待救援，温馨提醒大风天出行务必及时观察路面情况，提高警惕，谨慎驾驶！: 大风吹倒车辆女司机淡定拍照等待救援
4月3日，浙江诸暨。男子正开直播，目击小朋友落水，他立即跳水救起。上岸后被网暴说自导自演，救人男子非常难受，遂要求调监控。（素材来源诸暨融媒体）: 男子目击小朋友落水,要求调监控。
孩子名字输错好几次怕误诊就走了 4月3日，重庆，女子称带孩子到诊所看病，结果男医生一边玩手机象棋游戏一边问诊，全程都没看孩子一眼。当事女子表示，当时这个医生给孩子输名字就输错好几回，怕误诊，最后带着孩子就走了。重庆: 女子因看病输错名字,男医生边玩游戏边问诊,最终带着孩子走了。
警民直通车闵行@警民直通车闵行发布警情通报2023年4月1日10时50分，新龙路某小区内发生一起刑事案件，民警迅速到场将犯罪嫌疑人周某某（男，37岁）控制。经查，周某某因家庭矛盾与妻子徐某某发生冲突后，将徐某某杀害。目前，周某某已被依法刑事拘留，案件正在进一步侦办中。: 上海闵行发生一起刑事案件,犯罪嫌疑人周某某被控制。
闰二月该多要一个月工资的: 闰二月要拿一个月工资
来，玩个大的你觉得哪座城市是你心目中的美食荒漠友好交流。我先来杭州楼外楼的西湖醋鱼真难吃！！！！！！: 探讨美食荒漠,杭州楼外楼的西湖醋鱼难吃。
近日，湖北武汉一大二男生摆地摊卖水果年入9万，男生表示自己是从大一下学期卖水果，一开始是做水果代购后面是做水果群，学校的水果群就积累了2300多名顾客，自己卖的不贵同学们也信任他。最近他看网上开椰子蛋很火，为开发这个新产品男生每天开椰子蛋开到凌晨一点钟，开业15天已经开了近500个椰子蛋。男生表示自己的专业是影视摄影制作，但未来他并不打算从事这个行业，自己更愿意去做生意。视频@视频视频: 大二男生摆地摊卖水果年入9万,已开近500个椰子蛋。
最近跟朋友聊天，发现很多人要么缺对象，要么结婚的不想生孩子，最后总结三大原因住房、教育、医疗！现实确实给了年轻人太大的压力，这也是大家对养娃这件事的担忧吧！90后的大家，都生孩子了吗，一起来聊聊吧辣妈育儿社: 年轻人对养娃担忧,90后应关注住房、教育、医疗。
我刚看到那个夫妻在沈阳7万块开店还没营业被拆的官方回应。迷雾重重，无语又无语。我试图捋下这新闻的过程。看看是不是这么回事。去年6月，沈阳铁西区政府批准铁西万达广场商管的申请，举办铁西万达广场万达汽车小镇夜市，经营期限是4个月。去年6月，全国奥密克戎疫情管控啥情况吧，我提醒大家回忆一下。丹东吃紧。沈阳刚刚发布疫情防控61号令。继续深化开展区域核酸，沈阳各区继续保持辖区内不少于15社区开展重点区域核酸检测，至少7天1次全员检测其它防控措施我就不说了。大家有时间可回忆。这种状况下，开夜市。谁来？赚谁的钱？我不知道。大概是疫情大环境下的气氛组吧。总得有些烟火气活跃下气氛。夜市获得去年沈阳颁发的夜经济示范市集，是曾经搞活气氛的小甜甜之一。万达商管是个机灵鬼。它是把轻资产进行到底的。它投了些夜市搭建的小钱，转头就把夜市的运营权交给了一家叫辽宁峰瑞的公司。政府给万达批了四个月。万达转头给辽宁峰瑞签了两年。这手零风险套利玩得飞起。但辽宁峰瑞也不会是傻蛋加冤大头。在那样的疫情关头做这买卖，一个肯定是万达要的承包费用比正常价低不少。第二个是老板赌一个疫情结束。用时间换空间。谁也没想到，疫情就真的结束了。时光荏苒，这个夜市四个月的经营期限很快就到期了。当时签署审批文件的人不会意识到。因为很快，全国将迎来大放开，和快速过峰的兵荒马乱。谁会去关心一个小小的不起眼的夜市呢？春暖花开，一切步入正轨。辽宁峰瑞一定兴奋无比。真特么赌对了！它要夺回失去的四个月，还要在接下来的一年让夜市成为它的金钱不眠夜。辽宁峰瑞在夜市基础上扩大了经营规模，大举招募小商家。在疫情三年被耽误的许多小生意人闻风而至。他们押上身家性命，打算奋力一搏。就这个时候，铁西区市场管理部门出现了。所有人被告知，这是个违规市场。已经超期。必须依法取缔。的确，一切都不在规矩上。可这对可怜的夫妻就和所有小摊主一样，对这些默默发生的违规一无所知。他们在短视频里的声嘶力竭就和他们内心的懵逼一样艰深又苦涩。: 沈阳夜市经营期限为4个月,万达商管在辽宁峰瑞范围内扩大规模。
