若到江南赶上春嘉兴乌镇西栅: 江南美景,赶上春嘉兴
最现场刘若英《后来》（飞行日深圳演唱会）今晚刘若英飞行日演唱会首站深圳站开唱，等了这么久终于等来奶茶，安可全场大合唱了《后来》。我感觉《后来》是最适合安可的歌曲之一了，因为每个人都想在自己生命里倒叙《后来》特别是在快要结束的某刻。: 刘若英深圳演唱会首站开唱,合唱《后来》。
近期演出信息（本条持续更新）之前那条了[苦涩][苦涩]成都草莓音乐节0409临沂琅琊音乐节0416金沙湖草莓音乐节0429重庆欢乐谷犀角音乐节0501北京草莓音乐节0513魔音音乐节0527长沙草莓音乐节———更多现场一起来蹦！—: 草莓音乐节演出信息更新
从高中3里灌满你的歌，喜欢跟你长得像的男孩，到后来去香港每年今天都会带着花去文华东方看你，看到那么多人还在酒店抹泪我又匆匆走开，今年你应该又20岁了，还是那个坦荡率性的少年模样，祝你今生情感少点触角，才华别太横溢，善良多点锋芒，一生圆满平凡，哥哥[微风]东方甄选: 东方甄选,祝你今生情感少点触角,善良多点锋芒。
当苏州的晚风轻拂脸颊，我们也和大家再次共度完成了《平凡的一天》，人生漫长而相逢短暂，希望这瞬间的温暖情绪能够长久的治愈大家那些生活中偶然难过的时刻。和毛不易@毛不易下一站再见: 完成了《平凡的一天》和毛不易下一站再见。
谁懂真的很喜欢这种用旋律留白的作曲小习惯: 喜欢用旋律留白的作曲
开开会听听歌宠宠粉好爽好爽好爽！: 开会听歌,体验爽。
出摊 这是婶婶对挺有的忠告: 婶婶忠告摊贩
今晚，李荣浩@李荣浩成都演唱会全场大合唱《乌梅子酱》，并为一对在现场求婚的粉丝送上祝福。你浅浅的微笑，就像乌梅子酱，迎风吹过你的头发，我好喜欢，厚厚的甜蜜感，用幸福秤杆秤一些收藏，合照一张和夕阳。: 李荣浩成都演唱会送祝福,合唱《乌梅子酱》。
林俊杰20墨尔本《有梦不难》，和合作完成的特别版本！超级宠粉说你想唱多少就唱多少！恭喜这位终于在墨尔本圆梦啦！（在0326香港和0327见面会我都有听到他高喊他会《有梦不难》的部分）: 林俊杰在墨尔本合作特别版《有梦不难》
昨夜广州依旧被热情感动《前夜》继续下次见！梁博全球博友群@梁博全球博友群博鸽的鸽子窝@博鸽的鸽子窝梁博家园群微博@梁博家园群微博梁博出现吧@梁博出现吧: 梁博在广州被热情感动
排行榜危险啦王莎莎三专首单《给他电炮》正式发行由于一专首单《姐就是女王》大获成功。二专首单《姐不是女王》乐评商业断崖式下跌，这专能不能回春呢: 王莎莎三专首单《给他电炮》发行,乐评商业断崖式下跌。
终于发送成功啦[赢牛奶]这次想感谢地人好多啊，让我一一道来因为太久不唱歌，录制过程可谓艰辛！所以辛苦然然和小龙陪着我一点一点的抠细节（主要还是我自己不给力，真的好多地方感觉唱的不够好）原曲调子太高，第一我唱不上去，第二觉得就算勉强录制，也没办法用雪儿现在的声线。所以最后就选择了降调处理（之前去若森补别的项目的词，正好帅导和程老师都在，我就提出想翻唱的想法，但找不到伴奏还有调子太高。两人果断答应帮忙。之后马上就把伴奏给到我）不过用这么低沉的声音唱歌还是第一次，好多地方下不去导致情感有点出不来，所以才一遍一遍的录。最后实在录不动，只能求助于后期了。我录的差不好意思给别人，所以就又来麻烦塔塔啦。结果就是化腐朽为神奇啊听到成品真的泪流满面！！也算是圆了我和雪儿的十年之约啦: 录制成功,感谢地人,感谢调子太高,最后选择降调处理。
钢琴弹唱版的终于回归啦！！！这首惊喜曲目是开场歌手选滴[哇]: 钢琴弹唱版回归
看音乐节是潮人尝试穿搭的时候，近日西安连续的音乐节开唱，正常都是各种潮人穿搭。在4月1日二手玫瑰演出时，现场出现很多东北风穿搭，大红花的衣裤、头巾确实很二手玫瑰。网友土到极致就是潮[笑]矩浪音乐节@矩浪音乐节二手玫瑰乐队@二手玫瑰乐队: 西安二手玫瑰音乐节开唱,潮人穿搭受关注。
你们听没听过这部剧的片头曲，张杰唱的，我觉得特别好听，一度在心里给这首封为最佳片头曲: 张杰获封最佳片头曲
葡萄不愤怒乐队4月开始的声音是通通和砰砰巡演的前两站长沙武汉顺利结束，谢谢大家为我们做的旗还有礼物，我们继续在路上，下次现场见啦: 葡萄不愤怒乐队巡演顺利结束,感谢大家送的礼物,继续在路上。
唱得真棒！骄傲《我想和你唱》综艺版 吃圆圆不吐桂圆皮: 综艺版《我想和你唱》 吃圆圆不吐桂圆皮
将生活场景中的琐碎与珍贵编织成歌，未被平凡日常所桎梏的诗意与温暖在音乐世界中挥发，成为我们彼此相惜的线索与羁绊。毛不易@毛不易幼鸟指南全国巡回演唱会苏州站已经结束，感谢所有幼鸟的到来: 毛不易全国巡回演唱会苏州站结束,感谢所有幼鸟的到来。
林俊杰20世界巡回演唱会: 林俊杰20世界巡回演唱会
你可以永远热爱火星热爱华晨宇[哇][哇][哇][哇]华晨宇@华晨宇: 华晨宇,可以永远热爱火星。
广州，准备好了吗？太一@太一: 太一,准备好了吗?
投 好震撼的巴黎全场大合唱投 六小芙你们火到我了芙说八道不如少说两句: 巴黎全场大合唱,六小芙火到我了。
看我硬实力碾压不去耍任何花样，为了胜利我也愿意押上全部家当，让我把聚光灯用我的汗水擦亮，代表胜利的巴士也终于被我搭上。贰万（网易云音乐@网易云音乐）: 胜利巴士被我搭上。
[赢牛奶]飞向更高处，多彩的阳光。随心去尽情拥抱吧！: 飞向更高处,拥抱阳光。
昨晚，李荣浩成都演唱会《乌梅子酱》完整版，全场大合唱并有粉丝现场求婚。一起再来云感受下。视频帮粉投稿: 李荣浩成都演唱会求婚成功
如果给你一张万能票，你最想去看谁的演唱会？周杰伦嘉年华世界巡回演唱会张杰未曜北斗巡回演唱会华晨宇2023火星演唱会薛之谦天外来物巡回演唱会李荣浩纵横四海巡回演唱会毛不易幼鸟指南巡回演唱会蔡徐坤迷宫重启巡回演唱会王源客厅狂欢巡回演唱会五月天北京鸟巢演唱会十周年演唱会时代少年团演唱会家族三代登陆计划系列演唱会: 给你一张万能票,你最想看哪场演唱会?
吴莫愁素颜演唱歌曲《玫瑰少年》。网友好像姜思达。: 吴莫愁素颜演唱《玫瑰少年》。
五棵松，许钧演唱会。没人在这个时候说话，光喝来着。: 许钧演唱会现场尴尬
第490期 微博通道占总分的40，快来助力爱豆的音乐作品登峰造极！[烟花]投票帖（一）华晨宇、于文文、王栎鑫、苏醒、张国荣、张远、尤长靖: 微博通道占分40,助力音乐作品登峰造极。
张碧晨毛不易刘宇宁袁娅维胡彦斌双笙黄龄: 张碧晨、刘宇宁、袁娅维、胡彦斌双笙、黄龄。
如果说人生必须要去看一场演唱会，那一定要看五月天《突然好想你》《恋爱》《倔强》《知足》刻在了我的里面，都是青春的声音，你们的歌总能给人温暖、给人力量我的耳朵准备好了，来吧，五月天，不见不散: 期待五月天演唱会
听得出来和易梦玲分手挺痛的马思唯袁娅维《明天(袁娅维)》明天(袁娅维)（网易云音乐@网易云音乐）: 马思唯和易梦玲分手,发布新歌《明天》和《袁娅维》
看不到灿烂的转身易燃易爆炸: 转身易爆炸
盘尼西林浮生若梦全国巡演: 尼西林或全国巡演
徐良消失的这几年原来是转了幕后，经营了一家音乐公司。旗下也出过许多爆款歌曲善变、不如、来迟、醒不来的梦、就忘了吧、从前说等等。合着这么多年，换口味换来换去还是他们！原来大家品味从来没变过啊。[笑]: 张良消失多年,转幕后经营公司,旗下歌曲善变、不如、来迟、醒不来的梦,换口味还是他们。
电影《龙马精神》今日上映！片尾曲《青春故事》上线[音乐]将一群人一辈子为之奋斗的事业浓缩在故事中，献给每一个青春里留下过成龙@成龙记忆的你。或许青春会随时光流逝，但那些曾经的热血与感动，会一直在记忆里闪闪发光。今天，跟着大哥的脚步，再回青春，也陪大哥过个特殊的生日，我们影院见: 电影《龙马精神》上映,片尾曲《青春故事》发布,献给留下成龙记忆的你。
两场日本见面会结束啦看到可爱的你们，感觉一直以来的努力没有白费，你们的笑容我都有看见哦大家回家路上注意安全，未来一定还会再见的: 日本见面会结束,期待未来。
回味经典！《恋人未满》现场版，再也回不到那个能用短信聊一夜的时间了，浪姐4一起期待一波喽！: 期待《恋人未满》现场版
华晨宇@华晨宇的粉丝真的不分年龄段，妈妈粉在生日的时候来看花花啦，被抽中上台接受祝福也是有点幸福在身上: 华晨宇粉丝抽中华晨宇祝福
实时播报 逆跌的三首歌春日樱花结局除了春天爱情和樱花2023春天该听什么大家都心里有数: 实时播报:樱花爱情和樱花2023春天该听谁?
六年前，我在北京、上海、南京和歌迷一起感受爱的风暴 六年后我带着新歌和老歌再次痛快开麦 [话筒]这次的起始站是广州是六年前没有去到的城市希望可以在这里和老朋友相聚也希望在这里让更多新朋友认识我的音乐4月29日广州中央车站展演中心首站演出和我一起痛快开麦 飙到极致！: 感受爱的风暴,六年后再次痛快开麦。
梁博《日落大道》昨日广州海潮听说昨天梁博被网暴了？关于演出有没超时的问题，问了几个人，这个事情应该不怪梁博，人家就是正常演而已，至于后面那位时间为什么不够就不好说了。: 梁博被网暴?海潮质疑演出超时
预告的时候最喜欢的一首不愧是俺袁娅维《界》（《长月烬明》电视剧插曲）界音乐@音乐: 预告时喜欢的一首歌曲,是《长月烬明》电视剧插曲,界音乐。
张韶涵这体育场演唱会实绩，算是四大三小里面排第二了，仅次于孙燕姿，很牛。: 张韶涵体育场演唱会成功,排名第二。
时代少年团海边背影封面: 少年团海边背影封面
说句实在话，被前一个艺人拖场十几分钟，压轴艺人还能在休息的十几分钟内和整个团队协调好，这位压轴艺人带着自己的乐队老师，字幕后台协调老师，还有舞者，都能在被缩短演出时间的情况下，把整首歌加快速度，甚至临时调整歌曲，还能在结束后，立马开直播安慰粉丝就冲这一点，海潮的主办方选择的压轴真没错。: 被拖场十几分钟,海潮主办方选择压轴艺人。
