成龙大哥生日快乐成龙@成龙: 成龙生日快乐
成都文殊院戏剧性的一幕两位老人在路边乞讨，保安就用铁栏给拦着，坐在那儿拿着喇叭，说职业乞讨，请勿施舍，老人就在那儿哀声说他们欺负老人。: 乞讨者遭保安阻拦,老人哀声指责。
2021年10月29日，大连市中级人民法院对本案公开宣判被告人刘东犯以危险方法危害公共安全罪，判处死刑，剥夺政治权利终身。刘东上诉后，辽宁省高级人民法院裁定驳回上诉，维持原判，并报请最高人民法院核准。最高人民法院复核认为，第一审判决、第二审裁定认定的事实清楚，证据确实、充分，定罪准确，量刑适当，审判程序合法，依法核准对刘东判处死刑的刑事裁定。（大连市中级人民法院）人民视频: 刘东一审被判死刑,辽宁省高院维持原判,最高人民法院复核认为证据充分、定罪准确、量刑适当。
现在都不敢死，怕没地方埋: 担心埋葬风险
谁不是排半天了，就你着急。: 排半天,着急。
男子给小三转账160万妻子追回158万 近日，西安市雁塔区法院审结了一起妻子起诉第三者返还赠与财产纠纷案。丈夫王某瞒着妻子张某多次向小三郭某转款，共计160多万元，妻子得知后将小三告上法庭，要求其返还所有钱款。法官经审理认为，被告王某在与原告张某婚姻关系存续期间，未经配偶同意，将夫妻共同财产160多万元转账给情人郭某，违背公序良俗原则，其赠与行为应属无效。最终法院判决，由被告郭某返还原告张某158万余元。: 丈夫向小三转账160万,妻子起诉第三者返还赠与,法院判决由被告返还原告。
父亲有苦衷 3月29日下午2点，郑州市第一人民医院南院区新生儿童重症监护室里有一位750克的早产儿，孩子存在各系统发育不成熟的情况。@找到了疑似女婴的父亲，女婴父亲表示，这是一对双胞胎姐妹，老大是1100克，老二是815克。两个孩子当时都在治疗，女婴父亲觉得老二可能不行了，于是就遗弃在桥下，现在很后悔。3月30日，女婴父亲来到医院看望女婴，表示已经贷款全力救治女儿。: 郑州疑似女婴父亲表示她是双胞胎姐妹,她父亲认为老二可能不行,于是遗弃在桥下。
我们不相信，别睁眼说瞎话了，自欺欺人，都看着呢就想知道美香一家啥时候回来: 不相信瞎话,想知道美香一家啥时候回来。
真的不建议这几个小孩子这样玩因为我现在长大了回不到过去: 不建议小孩子这样玩
墨西哥斗鸡比赛混乱一幕，主人刚撒手就被自家斗鸡飞扑攻击，血流一地被抬出场外: 墨西哥斗鸡比赛混乱,主人被自家斗鸡攻击
酒醉驾车，性质恶略奉劝大家喝酒不开车，开车不喝酒亚亚: 奉劝大家喝酒不开车,开车不喝酒。
法国人拍照真的可以期待放出更多的图，虽然居高临下想要突出法国人地位，但是越看越像回国受审[笑][笑][笑][笑]: 期待更多法国人拍照,越看越像回国受审。
伪造履历，欺骗招聘公司，领取保底薪资走人，这个是不是有欺诈嫌疑？难道不要负法律责任吗？: 伪造履历骗保底薪资,涉嫌欺诈吗?
不要难过，喝酒是美国未成年人唯一不能干的事情了。: 美国未成年人不能喝酒
不同时速的车祸瞬间，大家感受一下: 同速车祸瞬间,感受感受。
说白了，已经照着现有的法律罚得最重了但这个最重的惩罚9年竟然连受害女性怀8个孩子一系列过程的时间都不够只能说明法律不完善，法律对妇女权益保护不完善，对这些个垃圾男性的过于保护，人口买卖的任何一个环节都应该重罚: 法律惩罚9年连受害者怀8个孩子都不够说明法律不完善保护妇女权益。
啊这，所以网红的商品不要去买呀，都是一些小加工厂生产的东西，你们也是真的敢吃，所以大家会买网红或明星的吃的吗？: 购买网红或明星吃的商品需谨慎
意大利禁用的原因找到了: 找到禁用的原因
共奋进需要凝聚起全体民众的向心力，需要拯救许多网民因前年夏天某演员社死特大冤案而导致的三观崩溃，这事不能拖延，要想让人忘记只会埋下隐患。: 呼吁拯救网民的三观崩溃
男子欠银行五万八后去世，终于有人给高高在上的银行也上了一课: 男子欠银行五万八后去世
下图是世界上最小的国家——梵蒂冈本来华人小茵说，可以帮我问问有一个华人，是认识天主教会的教皇之类的华人。但是具体是干啥的也没问，小茵想法是，或许这个人可以找一下梵蒂冈城内的教职人员见个面之类。这个华人第一个问题是有没有钱拿？小茵说，没有钱拿这个华人说不给钱的都是耍流氓然后挂了电话所以很遗憾并没有约到梵蒂冈有关系的华人。不过今天我突然又收到一个私信，一个华人说，有一个天主教的华人神父，她很熟，她可以帮我问问看。梵蒂冈梵蒂冈广场: 梵蒂冈华人小茵的私信
有网友投稿，向云南一寺庙投资500元，它们就可以保证亡灵下辈子能投胎到美国: 网友投稿500元投资云南寺庙保证亡灵投胎到美国
被告孙某林当庭痛哭，他们把我关进农家院（河北保定蠡县留史镇北张村广进胡同4号）一个下午打了我100多个耳光，手打累了用牛筋鞋底抽，脸被他们打成了猪头（用手比划大圆圈），就是逼我承认我根本不知道的罪！河北长安网@河北长安网河北高院@河北高院河北检察@河北检察邢台长安网@邢台长安网邢台中院@邢台中院邢台检察@邢台检察（配图）: 检察官殴打孙某林100多个耳光,逼其承认罪。
广州理发店避雷老板咒事件中的小姐姐带着自己的妈妈和外婆去剪头发，由于其母亲的头发是寸头，希望可以按照男生剪头的价格少五块钱，商家略有不满但还是同意了。在剪头发的过程中，小姐姐和家人要求将后脑勺的头发剃短点，结果就被理发师教训表示女性就是比男性麻烦，甚至于骂患了癌症的顾客是苍天有眼因为五元就发生这样的事情，实在难以让人理解。店家作为生意人，让利五块钱并不是什么难事，至少做生意格局要大。如果你不愿意让利五块钱，你可以明确拒绝客户的五块钱的诉求，但是你不能凭借着五块钱的让利去侮辱客户。只要是顾客，提一个合理的诉求，为什么会被侮辱是女性就是比男性要麻烦呢？甚至于是让一个本就深受病痛折磨的癌症患者感受到外人对其满满的恶意。: 理发店避雷老板咒事件,小姐姐带妈妈和外婆去剪头发,商家拒绝顾客要求利五块钱,引发争议。
三亚中央商务区，在助力三亚建设国际旅游胜地、自贸港科创高地等方面，发挥了积极的区位优势和产业竞争力。尤其在2022年，园区新增企业数1006家，企业总数达5890家，是园区成立初期的2倍。目前，园区基本形成以紫金海控、大唐海外、恒力集团为代表的总部经济，以红杉资本、启赋资本、嘉实基金为代表的金融服务产业，以珠海免税、海旅免税、中服免税为代表的现代商贸产业，以中旅邮轮、国旅环球、亚光科技为代表的邮轮游艇产业。: 三亚中央商务区企业总数达5890家,园区基本形成总部经济和金融服务产业。
美国军工巨头，雷神公司64岁副董事与妻子坠机身亡！晚间饭局后乘轻型飞机回家，起飞不久后坠毁！: 雷神公司副董事与妻子坠机身亡
自诩出身贫寒、生活简朴的美国大法官托马斯被爆料，他长期接受得克萨斯州房地产大亨、共和党金主哈兰克罗的资助，过着奢华、腐败的生活。纽约州议员科尔特斯昨天称腐败程度令人震惊这位黑人大法官的人设崩塌了，吃了共和党，又吃民主党。: 美国大法官长期接受房地产大亨资助,腐败程度令人震惊。
这词条就离谱啊。。。。人家说的是当时在海鲜市场提取的病毒是来源于人的，说的意思是海鲜市场里采样病毒并不是最早的来源，而是已经有人感染了之后再到市场扩散的，不是说新冠病毒起源是人。。。这词条弄出来是给别人递刀子吗？你这说新冠病毒是来源于人，人家再追问一句，来源于什么人？你说来源于武汉当时的人吗？这个原话的本来意思是，华南海鲜市场的病毒测序结果表示这里不是新冠病毒最早来源。仅此而已！是为了反对那些类似某御用专家说的来源于当时海鲜市场动物的说法。: 新鲜市场病毒来源引争议
谭德赛又来要求中国公开那个的来源数据了。你们说，怎么回答他？: 李德赛要求中国公开来源数据
必须把陈志龙抓起来，再多几个这样的人，996就搞不下去了！成都工作群里怒怼领导事件，造假的可能性越来越大。到目前为止没有任何单位和相关个人出来认领这件事，当事人，包括群里其他的几百人，没有一个人出来说这件事，这不符合常理。另外中科电那么大的企业，那么多人，真的是内部人的聊天记录，一定会有人站出来说。有人说领导下了封口令，开什么玩笑，几百张嘴，捂得住吗？事发后中科电连同总工会正在调查此事，到现在仍然没有找到具体单位和个人，目前已经报警了。这件事虽然引发全网共鸣，但是影响很坏，就算要反996，也不能拖国字头的企业下水！希望警方迅速将此事调查个水落石出，找出幕后的始作俑者，严惩不贷！都像陈志龙这样挑战领导权威，加班文化就难以为继了，还怎么以奋斗为本？？: 举报人事件影响很大,中科电和总工会已介入调查。
