特朗普在法庭上做无罪辩护: 特朗普无罪辩护
关于中国电科这事，我说几句容易被喷，但可能对大家有用的话，希望大家能认真看完。先说结论我佩服他的勇气，但不建议大家这么干！然后求大家别取关！[作揖]这位陈志龙对公司有很大怨气，但我真不建议大家学他，他等于把自己所有的后路都断了。抱怨不光没有任何作用，而且往往会让你变得越来越消极。几乎所有人对公司都有点看法这很正常，但一般越是这种积极怨很深的，工作上的表现也都一般。一般越是优秀的人，工作越努力，越没怨言，而且这类人一般会在很短的时间类脱离底层。我在一家私企实习时，有个同事，能力超强，一个人顶10个，工作特别拼命，经常熬通宵加班。两年后，跟他同时进入公司的同事还在抱怨工作累，待遇低时，他已经干上项目总监了。我可以明确告诉大家，没有一家公司可以让你100满意，而且越是大公司，越卷。华为、小米这类顶级公司，哪家不是天天加班？而且没有加班费，为啥985毕业的高材生还心甘情愿在这里工作？而且这种公司，不是你普通人想进就能进的，都是人中龙凤经过层层选拔、面试才行。如果真觉得工作环境不让你满意，你可以换公司，考公，你最后会发现，其实都差不多，想有所成就，改变命运，必须卷。我给大家讲的都是现实，我知道就着大家的情绪，跟着瞎起哄，那我更容易受追捧，但那样只会害了大家。其实陈志龙这样肯定不可能再找下家了，只能自己创业。说实话自己创业更操蛋，我当初的性格就是那种看不惯现实的。我以为自己干可以不用改变自己，不用讨好他人。但你自己创业了，压力更大、焦虑更多。还真不如在一家公司好好打工，有稳定的收入好。所以人活着，就不可能有躺平的一天！: 陈志龙:工作积极积极,才能改变命运。
我对当下的一些政绩观极其厌恶。建超高层写字楼为啥会是一种政绩？建五星级酒店怎么就造福一方了？动辄十万平米起步的商业中心，对城市真的有什么用处吗？十车道的景观大道，一河两岸景观带，旧城区贴新外立面，这些烂玩意为什么会成为公认的政绩？并成为升官的最大凭据，没有之一？为什么政绩不是当地的制造企业新增了多少工人，工人平均工资提升了多少比例？为什么政绩不是留守儿童与家人团聚的比例？为什么解救被锁了20年的被拐妇女不是政绩？为什么协助资金链即将断裂的企业重获生机不是政绩？: 政绩观引发关注,建超高层写字楼或成升官最大凭据。
中国电科这样的国企，闹出这样的笑话，笑话是其次的，背后原因是啥更有意思。国企如果管理不当，效率低下，内耗巨大，成本高企，这种问题咋解？地方上央企、国企还难免被安插进公务员亲属，官员亲属。还记得周公子啥单位不？: 国企管理效率低下,被安插进公务员亲属,还记得周公子啥单位吗?
我如果是这个母亲，改嫁了，也没有带孩子，孩子的遗产我会自动放弃，尊重孩子遗嘱的意愿。如果经济条件比较好的话，可以适当帮扶爷爷奶奶秦皇岛燕山大学: 改嫁后不带孩子,遗产自动放弃,可适当帮扶爷爷奶奶。
杭州发布@杭州发布西湖区文旅局@西湖区文旅局杭州日报@杭州日报杭州电视台综合频道@杭州电视台综合频道杭州文广旅游发布@杭州文广旅游发布杭州新闻60分@杭州新闻60分1818黄金眼@1818黄金眼: 杭州发布杭州新闻60分和1818黄金眼。
集中销毁没收来的不合格不合规电瓶车、三轮车、四轮车场面弘大，弱弱地问一句既然是不合格不合规不能上路行驶的车辆，它们为什么会被生产出来并允许上市销售难道是政府部门山头林立，各抓各的政绩不管民众死活既然产品不合格不合规不能上路行驶，那么工业产品生产许可证主管部门、质监部门以及市场监督管理部门在干嘛？为什么会让它们被生产出来销售给民众使用不合格不合规车辆不能上路行驶却明目张胆销售给了民众，然后再由交通管理部门来没收进行销毁，这不是在骗民众的钱吗？: 集中销毁不合格车,是否会骗民众?
的故事展览厅。参观故事的展览，是腾讯公益联合恩派公益共同发起公益真探计划中的其中一环，让捐赠者以及心怀善念之人，能更多的参与到公益性社会议题研讨、探访公益项目地和参与公益行动，致力于让世界更美好。慢步于展馆中，伴随着工作人员讲解观看影片，我们深深体会到，在抗战过去了许多许多年的今天，在我们幸福生活之际，还有的人在等待，等待当年参军的游子归家每位战士，都是别人的儿女，别人的父母，别人的丈夫、妻子他们的家人一直在等待，等待与他们团圆。愿战士团圆，愿英魂回家。一场跨越时空的悼念: 参观故事展览,腾讯公益联合恩派公益共同发起公益真探计划中的其中一环,让捐赠者、参与公益项目和参与公益行动,让世界更美好。
以后我晚上八点半再去超市！！！: 期待晚上八点半再去超市
近日，云南。监控拍下老人离世前一幕，上一秒还在跟儿子说话，下一秒天人永隔。年纪大了，真是看不得这样的场面，泪水止不住。: 监控拍下老人离世前一秒,还在跟儿子说话。
看见福建@看见福建（视频泉州府）看见福建: 看见福建,视频泉州府。
说劳工或人力资源短缺这是万万不可能的，十几亿还缺人干活，那些几千万的人的国家还活不活了。我认为论人口中国只有多余，没有缺的，所谓缺少劳动力其实缺的是穷人。人只有生活所迫式才会出卖自己，出卖劳动力、出卖肉体、出卖灵魂。要想增加劳动力，就要增加穷人的数量，把一部分人变成穷人，而且最好是负债的穷人，这样更有动力。古代奴隶一个重要来源，就是债务奴隶，想办法让人负债，不断增利息直到签下卖身契。如果一个人衣食无忧，而且没有负债，谁肯出来出卖劳动。所以生孩子单纯增加人口数量是解决不了劳动力短缺的，让一定比例的人变穷，多制造穷人才是关键。: 劳动力短缺是万万不可能的,应增加劳动力,把一部分人变成穷人,最好是负债的穷人。生孩子单纯增加人口数量,解决劳动力缺的是穷人,多制造穷人才。
4月4日，疑似中国电科清明节强制加班怒怼领导的相关聊天记录在网络上传播。5日上午，致电成都市劳动保障监察总队，工作人员表示，已注意到相关网络舆情，将进一步前往涉事公司了解情况，调查核实。这名工作人员称，清明节属法定节假日，用人单位如若加班，需支付300费用，如果网络截图所传早8晚11工作的情况属实，那么该公司涉嫌违反《中华人民共和国劳动法》（每天8小时工作制，加班不超过3小时），那么该公司涉嫌违法，将对其依法处罚。目前，疑似当事人陈某回应已经离职。据新黄河报道，中国电子科技集团有限公司总部一位工作人员对此事表示，他们从新闻媒体上关注到此事，但具体情况并不清楚，待相关工作人员核实清楚后，会有统一的回复。: 中国电科员工因违反劳动法被处罚,涉事公司已介入调查核实。
同是走出去的湘潭伢子，教员和马英九祭祖的方式有天壤之别，高下立判。一个轻车简从，一个车水马龙一个两手空空，一个祭品满供一个田间小道，一个红板铺甬一个一根木棍，蜿蜒前行一个几辆大车，直达墓厅一个三次鞠躬，一束松枝一个仪式拉满，三上供香一个是一抔坟丘诉衷肠前人辛苦，后人幸福一个是石碑墓茔颂祭文慎终追远，民德归厚细品之下，就会明白胜败的道理。: 湘潭<unk>子教员和马英九祭祖方式有天壤之别。
总结 本批次36间瀚海书屋，位于山西省临汾市。本批次共捐赠书籍册，书籍价值513万，实际采购金额181万，36间瀚海书屋捐赠总价值182万。截至368号，瀚海书屋已完成289万册书籍捐赠，100万册书籍小目标完成进度289。所有捐赠物品均由认领者在涓流协助下，通过网购平台自行采购直接发往受助学校，涓流未经手款项与捐赠物品，未收取任何费用。唯爱永不朽，愿善永不休。@张哲瀚再次感谢本次认领书屋的所有海哲333@@2011及彩色的诗@彩色的诗335答对了吗@答对了吗等风来的猫@13等风来的猫337高处不胜寒的浪漫@高处不胜寒的浪漫338你们来啦啦@你们来啦啦339想飞的鱼@想飞的鱼东隅之失@东隅之失341铁窗关马@铁窗关马342一天到晚游泳的鱼416@一天到晚游泳的鱼答对了吗@答对了吗344苏南511@苏南南风月下入西洲@南风月下入西洲翩翩年少饮酒浆@翩翩年少饮酒浆秋苇如芒爱疯630@秋苇如芒爱疯絮菡温暖0511@絮菡温暖齐崮洝不知道@齐崮洝不知道348菡史上最帅@菡史上最帅349最喜欢猕猴桃了@最喜欢猕猴桃了350简爱的远方@简爱的远方351简爱的远方@简爱的远方352小心的妖@小心的妖353@354请回答@请回答大森淼版@大森淼版356蓝色的天空0511@蓝色的天空進擊的雪連城@進擊的雪連城358進擊的雪連城@進擊的雪連城359是行走的风@是行走的风360老张家的拼图@老张家的拼图与李子喵3@李子喵3361四季银庄@四季银庄362沉默不沉没1314@沉默不沉没小窝@小窝364张言哲语瀚风几@张言哲语瀚风几365春尽絮飞留不得0511@春尽絮飞留不得墩墩三江@墩墩三江367霜河星垂@霜河星垂368等花开的小仙女@等花开的小仙女: 本批次捐赠书籍及捐赠物品均来自认领者,包括张哲瀚等,捐赠书籍涵盖多种类型。
当年是解决了一些事情的。当年处于什么情况呢？我那时候已经懂事了。当年的情况是，人多，工作不多。00年就上班干活的人，蕞小也是70后，他们一般是多子女家庭。特别在农村，人口多的不得了。大家可能不知道，小时候，我们农村也是住纺紧张的。哈哈，现在的娃听到这个话，可能会直接笑昏古七。当年确实是这样的。因为很多农村家庭就是三间大瓦房，其中一间是谷仓，放农具，一间是老夫妻住，不管生几个娃，可能都要挤一间。农村普遍修铝合金别野，一般是90年代后了。那时候，如果去深圳东莞打工，干几年，就可以攒58万，再去亲戚家借一圈，基本就够二上二下大独栋了。那时候，一个楼，只要十万块，瓷砖只贴靠门路的一面。砸个啤酒瓶，用碎玻璃写个福禄寿。浙江的农民更有意思。当年东方明珠修好了，看一次要120元，他们不高兴了，就在家里自己造一个东方明珠。你去看浙江的农村屋顶，都是三个球，和东方明珠一模一样，就是那时候流行的。到了九十年代末，发生了几个事情，一是农民想要进城赚钱，因为水稻的收益率不高。二是遇到了城里大下冈。非常多的城里人要上班。当年，基本上每个人的亲戚里都有几个亲戚下冈的。我家有一半的亲戚家里遇到了，菜嫂家也差不多。一般来说，事业编以上的，例如科教文卫，不需要下冈，生产型的厂子，几乎是遍地都有回家的。这些人都没什么钱，你那时候不要想做生意。你不管做什么生意，也没人消费。有人说，我开个理发店行吗？不行。因为附近有三个农民开了，人家早上十点干到晚上十一点，理一个男生短发，两块钱，你来啊，还要纺租水电气。而且工作环境特别差（没有厕所）。就是租个废弃的小砖纺，一般是810平米，通个水龙头，就开干了。那时候已经有电热水器了。城里人受不了这个工作环境，而且一般也不会理发手艺。这时候，来了。我们印象醉深的是，外资公司了。外企的办公室装修，是国外原版图纸，把我们看的目瞪口呆。而且，工资是原来老工厂的810倍。于是，外语学院成为了当年的香饽饽。主要是日语，英语。那时候，又发展出了旅游。很多小日子的很多老头老太来旅游，去一趟苏州杭州，导游的收入是一两千。那时候，大厂工人是月入一两千。因为旅游区有很多卖假画的，导游就忽悠那些老头老太，导游敲边鼓，拿提成。其次是出口。一夜之间，外环线到处都是羊毛衫厂。大家没见过羊毛衫的制作。我见过一次，就是一个铁机器，手摇羊毛衫，很快的，一个小时就行了。第三，做了羊毛衫后，就开始做衣服裤子。我们这里本来就是轻工业中心，人才多的是，生意好到忙不过来。第四，大学生做外贸员。好的时候，那些刚刚毕业的大学生，一年一套老破大的收入（20万）。因为外贸员利用信息差，两头吃。后来，需求实在是太大了，就不一定要外贸系或者外语系了，只要四级就行。以前没有微信，就是发传真。松下的传真机，非常畅销。第五，产业转移。因为外环线生意忙不过来了，就发给包邮区做。这下子捅了马蜂窝了。所有人都有事做了。老厂技工去乡下当老师傅，有的聪明人，还找了个老婆。我记得有个老师傅，那年51岁，在农村，找了个31岁的带娃妇女。人家开心的不得了。农民就去开高速集卡，大学生当报关员，外贸员，各行各业带起来了。你要是实在没本事，也不要紧，有几个保底的，开摩的，卖小吃，看大门，搬运工，做配套。很多人不知道什么是配套，说白了就是穿花边。我见过一次，例如有一批货，需要手工做花边，就有人把它发到附近的小村，组织各种大妈，在家完成。当然，如果你运气好，家门口就有几个外贸厂（很常见的），你直接可以在家里当纺东。那时候城乡结合部的老师傅，标配是，拿个雀巢咖啡的超大玻璃杯（深咖啡色），抽个红双喜小烟卷，敲个二郎腿，抱着几斤钥匙，趾高气昂的告诉打工人，没有房间了，没有了，走吧，走吧。因为需求太大了，没有一个人闲的，只要你想上班，分分钟就可以。当然，窗明几净还做不到，干个普通活是可以的。那个岁月，现在想起来，真的是拍案叫绝。: 农村家庭进入外资公司打工,年薪十几万,外出外出打工。
