刷到花花请不要无视，说明你的运势开始上升: 运势上升提醒:不要无视花花
黄景瑜、白百何检察官题材新片《检察风云》主题短预告来了！王丽坤、冯绍峰此次扮演拥有二十年感情的夫妻，主题短预告中冯绍峰饰演狡黠富豪，一出场就自带狡黠感，好新鲜呀！包贝尔饰演的反派陈鑫邪劲十足，又让我想起了赵公子，隔着屏幕已经开始害怕了4月29号必上影院去感受感受: 电影《检察风云》主题短预告发布,冯绍峰、王丽坤、包贝尔主演,扮演狡<unk>富豪。
正在爱奇艺热播，知名演员演员赵杰@演员赵杰、余俪@余俪、香港老戏骨演员徐少强@演员徐少强、知名网红吴春怡@吴春怡等实力派联袂出演[彩虹屁]雷电羽人怒斗恶龙，封神雷震子的别样传奇，燃爆人间四月天快来爱奇艺@爱奇艺一起看[好喜欢]封神外传之雷震子: 实力派演员联袂出演《彩虹屁》雷电羽人怒斗恶龙,封神雷震子的别样传奇,燃爆人间四月天。
成龙新电影《龙马精神》今日上映，同时今天也是成龙的生日！这是什么好日子啊，简直就是双厨狂喜！这不得带着家人朋友去电影院支持一波: 成龙新电影《龙马精神》上映
本质上还是大鹏喜剧，涉及到的现实部分，仅是增加影片讨论的话题，并没有深入去思考这背后的根源。影片的故事缺乏现实可行性，好在小人物做好事这样的出发点很容易让人产生共情，全片充满欢笑，也充满善意，让人在看完之后有很好的情绪释放，可以称得上是合格的商业电影。大鹏对观众很有研究，因此他能拍出市场需要的电影，但要指望他电影能有什么深刻反思，有什么艺术造诣，还是非常困难。: 大鹏喜剧电影的现实与现实问题,缺乏现实可行性,全片充满欢笑、善意和情绪释放,是合格的商业电影。指望大鹏电影能深刻反思并深刻反思。
陈见夏（孙千饰）出生在一个重男轻女的家庭里，自小母亲的偏心让她没有得到任何家庭温暖，面对来之不易的留学机会，母亲还要为了弟弟牺牲她的未来。在阴郁的生活里，李燃（张新成饰）的陪伴是她唯一的温暖。电影这么多年: 电影《见夏》母亲为弟弟牺牲未来,孙千、李燃陪伴始终。
搬运这么多年 提档了提档了，还有谁不知道吗？张新成@张新成张新成资讯博: 提档多年,张新成资讯博寻找线索。
它来了它来了！超能一家人它终于来了！既然都已经预热啦，那是不是离上映就不远了！拜托让这波快乐来的更猛烈些吧！定档我一定会是首批影迷去电影院支持！: 超能一家人电影即将上映,期待首批影迷支持。
该电影由松居大悟担任导演兼编剧，池松壮亮、伊藤沙莉主演，将于4月14日世界表白日全国上映，每个人心里都有过喜欢的人，一起走进影院稍微想起一些回不去的曾经。: 电影《世界表白日》将于4月14日全国上映
你的所有情绪，妈妈都能一眼识破。刚结束脱口秀表演的何岸张艺兴@张艺兴回到了家就被妈妈拥入怀中，不管遇到多大风浪，妈妈永远是避风港月28日，: 何岸张艺兴脱口秀表演,妈妈一眼识破。
太喜欢《宇宙探索编辑部》了（差点记成了《宇宙漫游指南》）。浪漫，但并不故作高深，非常接地气，里面的四川话听着亲切无比，全场都在笑。就是镜头有点太晃了哈。: 喜欢《宇宙探索编辑部》的四川话电影,镜头晃了哈。
咱们就是说这妥妥的就是福利呀，流浪地球2部帧享连看，真的很懂我们呀，简直太过瘾啦！狠狠码住，经典之作当然要细细品鉴，刷安排上！[赢牛奶]: 流浪地球2帧享连看,品鉴安排。
洪金宝叮嘱成龙身体要紧，每一个动作都要当心点，劝他不要勉强自己挑战危险动作。正因为师出同门，才知道成龙出道这60年来的不易。希望两位都能一直龙马精神，期待下次的同框，《龙马精神》正在热映，一起去电影院支持呀[哇][哇]: 金金宝劝成龙不要挑战危险动作,《龙马精神》热映。
大鹏导演新片热烈定档: 大鹏导演新片定档
让我们自己制造的飞机飞遍长空: 自己制造飞机飞遍长空
范丞丞拍摄落寞的走在街头，旁边情侣幸福又魔性的笑声范丞丞把这辈子最伤心的事想了一遍也憋不住笑哈哈哈哈哈哈哈！这谁能伤心的起来嘛！: 范丞丞拍摄落寞街头,情侣幸福大笑。
看龙马精神里成龙哭戏破防了: 成龙哭戏破防
没什么大要求，重要角色别黑！马尔福帅点！斯内普找腾哥也行但是配音要找个舒服的: 角色要求:马尔福帅点,斯内普配音舒服。
倒数说爱你预售2小时仅191元: 倒数说爱你预售2小时仅191元
我知道宇宙探索编辑部里街头一闪而过的孙悟空是孙一通的演员兼电影编剧王一通客串的，当时就想人来人往的不会有人把他当街头卖艺的找他合照吗结果，还真有哈哈哈哈哈哈哈哈哈哈哈哈哈哈: 孙悟空演员兼编剧,客串街头卖艺。
上映第13天，累计票房突破2亿，累计观影人次5333万。: 第13天票房破2亿,观影人次5333万。
北京国际电影节大师影像展《幻想的诗学》七位艺术家与推荐官海报发布，由何见平设计黄渤施拉泽赫什阿里仁科乌雷刘雨昕劳尔马克斯肖央梁绍基王昱珩宋冬谭卓杨福东胡歌安东尼蒙塔达斯本届北影节设立艺术创新单元，板块之一大师影像展《幻想的诗学》中，7位国际艺术家的16件作品将展出。谭卓担任本届北京国际电影节的艺术创新推广大使、艺术创新单元发起人。: 七位艺术家发布《幻想的诗学》海报,谭卓担任北京国际电影节艺术创新单元发起人。
我见过有专门分析《无名》里对于女性角色的优秀刻画，一定程度上代表着导演本人的平权态度。这里另开一个视角，侧重于故事里的男性女性之间。按人物关联性，正好构成三组21，加一个小彩蛋。（老规矩，欢迎讨论，但请不要在我这里提任何无关人，谢谢互相尊重！）: 《无名》刻画女性,导演平权态度,三组关联性构成,加小彩蛋。
即将开启神经病大聚会之线上分会，4月9日1800来抖音平台，和监制郭帆@郭帆、导演编剧孔大山、主演编剧野生导演王一通@野生导演王一通一起狂欢。届时还有酷酷的滕@酷酷的滕、我是鑫仔不知悔改@我是鑫仔不知悔改、張祐維@張祐維、苗若芃@苗若芃一同加入聚会，我们不见不散: 神经病大聚会,邀请野生导演王一通参加。
由大鹏执导，黄渤、王一博主演的电影《热烈》官宣定档0728！酷盖向您发出邀请《热烈》定档了，要和我一起去看电影吗哈哈哈哈渤哥就是我本人: 《热烈》定档0728,酷盖邀请黄渤、王一博主演
从有血有肉的外交官宗大伟，到复杂多变的宰相府总管何立，他以多面角色诠释自己的热爱，亦惊艳银幕前的你我。这个春天，演员张译@张译和中国电影一起出发！光影为媒，数说荆彩。4月9日20点档，6电影频道及全网平台直播，相约荆楚大地，奔赴这个春天的第一场电影盛会！: 宗大伟、何立和张译电影一起出发,光影为媒,相约荆楚大地。
长空之王雷宇和父母对话好心酸: 雷宇和父母对话
薪火相传终有继，试飞路上，总有人会接过前辈手中的操纵杆，将驰骋云端的轨迹铺满每一寸天空。讲述的是为了试出祖国自己的战机，一代代试飞员与战机为伴，哪怕是一瞬间，我也想飞上云。端，他们将满腔热都挥洒在苍穹之上的故事。4月28日走进影院通过电影《长空之王》了解试飞员这一群体。致敬试飞英雄。: 电影《长空之王》致敬试飞英雄,讲述为试出祖国自己的战机与战机为伴的故事。
《龙马精神》里老罗不得不送走赤兔这段也太好哭了刚开始看似平静的情绪到后面忍不住的哽咽痛哭，这都是对赤兔的不舍的。在老罗和赤兔相处的这段时间里双方早已成为了家人，所以这段分别也更加让人泪目。被成龙大哥铁汉柔情一面的演技狠狠地打动到了: 老罗送赤兔,成龙演技打动。
星空彼岸的光芒，梦想触及的地方，我到了淤泥深处，捡到了一颗星星。王一博@王一博电影热烈: 王一博在淤泥中捡到星星
无料宣 从此策划@设计山河长诀@山河长诀、温屿归庭@温屿归庭、泛连央@泛连央、路过的毛豆、气味野生定制@气味野生定制图把你做成奶冻@把你做成奶冻、呋喃喃@呋喃喃、九千只鸟@九千只鸟、今日32号@今日32号、籾山阿亚@籾山阿亚、小仓鼠存钱罐@小仓鼠存钱罐无料画师@、@、猫咪剪@猫咪剪、邱茶、吴葉祖@吴葉祖、一个不喜欢香菜的人类@一个不喜欢香菜的人类、芝桃@芝桃*卷关啾五个，详情见宣图和*感谢@的50套小扇子: 设计山河长诀、温屿归庭、泛连央等参与制作气味野生定制图。
《哈尔滨1944》反派民国悬疑谍战，期待杨幂饰演关雪！: 杨幂将出演《哈尔滨1944》中的关雪
刘畊宏发博请村民包场看《龙马精神》，观影后带着全家去骑马体验肆意奔跑的感觉。: 刘<unk>宏请村民看《龙马精神》观影后带全家骑马体验奔跑。
电影《暴风》广州首映生图来了！[送花花]，饱饱状态好好哦，陈伟霆还用粤语、潮汕话和大家打招呼！啊啊啊！好期待啊！: 电影《暴风》广州首映,陈伟霆用粤语、潮汕话和大家打招呼。
年度关注演员张婧仪@张婧仪: 关注演员张婧仪
